config,seed,handle_mode,epochs,chunk_size,n_action_steps,max_steps,successes,episodes,success_rate,status
baseline,0,both,20,16,8,500,6,20,30.0,ok
baseline,0,both,20,16,8,600,7,20,35.0,ok
baseline,1,both,20,16,8,500,6,20,30.0,ok
baseline,1,both,20,16,8,600,7,20,35.0,ok
relative_only,0,relative_only,20,16,8,500,2,20,10.0,ok
relative_only,0,relative_only,20,16,8,600,6,20,30.0,ok
relative_only,1,relative_only,20,16,8,500,8,20,40.0,ok
relative_only,1,relative_only,20,16,8,600,3,20,15.0,ok
chunk12_6,0,both,20,12,6,500,12,20,60.0,ok
chunk12_6,0,both,20,12,6,600,8,20,40.0,ok
chunk12_6,1,both,20,12,6,500,1,20,5.0,ok
chunk12_6,1,both,20,12,6,600,6,20,30.0,ok
